"id","name","code","slug","state_id"
"res_country_city_1","Thành phố Vĩnh Yên","VN-70_vinh-yen","vinh-yen","VN-70"
"res_country_city_2","Thành phố Phúc Yên","VN-70_phuc-yen","phuc-yen","VN-70"
"res_country_city_3","Thành phố Ninh Bình","VN-18_ninh-binh","ninh-binh","VN-18"
"res_country_city_4","Thành phố Tam Điệp","VN-18_tam-diep","tam-diep","VN-18"
"res_country_city_5","Thành phố Cà Mau","VN-59_ca-mau","ca-mau","VN-59"
"res_country_city_6","Thành phố Vinh","VN-22_vinh","vinh","VN-22"
"res_country_city_7","Thành phố Vĩnh Long","VN-49_vinh-long","vinh-long","VN-49"
"res_country_city_8","Thành Phố Đồng Hới","VN-24_dong-hoi","dong-hoi","VN-24"
"res_country_city_9","Thành phố Cao Lãnh","VN-45_cao-lanh","cao-lanh","VN-45"
"res_country_city_10","Thành phố Sa Đéc","VN-45_sa-dec","sa-dec","VN-45"
"res_country_city_11","Thành phố Hồng Ngự","VN-45_hong-ngu","hong-ngu","VN-45"
"res_country_city_12","Thành phố Lai Châu","VN-01_lai-chau","lai-chau","VN-01"
"res_country_city_13","Thành phố Hưng Yên","VN-66_hung-yen","hung-yen","VN-66"
"res_country_city_14","Thành phố Lạng Sơn","VN-09_lang-son","lang-son","VN-09"
"res_country_city_15","Thành phố Biên Hòa","VN-39_bien-hoa","bien-hoa","VN-39"
"res_country_city_16","Thành phố Long Khánh","VN-39_long-khanh","long-khanh","VN-39"
"res_country_city_17","Thành phố Mỹ Tho","VN-46_my-tho","my-tho","VN-46"
"res_country_city_18","Thành phố Tuy Hoà","VN-32_tuy-hoa","tuy-hoa","VN-32"
"res_country_city_19","Thành phố Yên Bái","VN-06_yen-bai","yen-bai","VN-06"
"res_country_city_20","Thành phố Thủ Dầu Một","VN-57_thu-dau-mot","thu-dau-mot","VN-57"
"res_country_city_21","Thành phố Dĩ An","VN-57_di-an","di-an","VN-57"
"res_country_city_22","Thành phố Thuận An","VN-57_thuan-an","thuan-an","VN-57"
"res_country_city_23","Thành phố Tam Kỳ","VN-27_tam-ky","tam-ky","VN-27"
"res_country_city_24","Thành phố Hội An","VN-27_hoi-an","hoi-an","VN-27"
"res_country_city_25","Thành phố Điện Biên Phủ","VN-71_dien-bien-phu","dien-bien-phu","VN-71"
"res_country_city_26","Thành phố Kon Tum","VN-28_kon-tum","kon-tum","VN-28"
"res_country_city_27","Thành phố Bạc Liêu","VN-55_bac-lieu","bac-lieu","VN-55"
"res_country_city_28","Thành phố Buôn Ma Thuột","VN-33_buon-ma-thuot","buon-ma-thuot","VN-33"
"res_country_city_29","Thành phố Long Xuyên","VN-44_long-xuyen","long-xuyen","VN-44"
"res_country_city_30","Thành phố Châu Đốc","VN-44_chau-doc","chau-doc","VN-44"
"res_country_city_31","Thành phố Thanh Hóa","VN-21_thanh-hoa","thanh-hoa","VN-21"
"res_country_city_32","Thành phố Sầm Sơn","VN-21_sam-son","sam-son","VN-21"
"res_country_city_33","Thành phố Quảng Ngãi","VN-29_quang-ngai","quang-ngai","VN-29"
"res_country_city_34","Thành phố Tây Ninh","VN-37_tay-ninh","tay-ninh","VN-37"
"res_country_city_35","Thành phố Bắc Giang","VN-54_bac-giang","bac-giang","VN-54"
"res_country_city_36","Thành phố Thủ Đức","VN-SG_thu-duc","thu-duc","VN-SG"
"res_country_city_37","Thành phố Phan Rang-Tháp Chàm","VN-36_phan-rang-thap-cham","phan-rang-thap-cham","VN-36"
"res_country_city_38","Thành phố Tuyên Quang","VN-07_tuyen-quang","tuyen-quang","VN-07"
"res_country_city_39","Thành phố Sơn La","VN-05_son-la","son-la","VN-05"
"res_country_city_40","Thành phố Nam Định","VN-67_nam-dinh","nam-dinh","VN-67"
"res_country_city_41","Thành phố Phủ Lý","VN-63_phu-ly","phu-ly","VN-63"
"res_country_city_42","Thành phố Hải Dương","VN-61_hai-duong","hai-duong","VN-61"
"res_country_city_43","Thành phố Chí Linh","VN-61_chi-linh","chi-linh","VN-61"
"res_country_city_44","Thành phố Vũng Tàu","VN-43_vung-tau","vung-tau","VN-43"
"res_country_city_45","Thành phố Bà Rịa","VN-43_ba-ria","ba-ria","VN-43"
"res_country_city_46","Thành phố Rạch Giá","VN-47_rach-gia","rach-gia","VN-47"
"res_country_city_47","Thành phố Hà Tiên","VN-47_ha-tien","ha-tien","VN-47"
"res_country_city_48","Thành phố Phú Quốc","VN-47_phu-quoc","phu-quoc","VN-47"
"res_country_city_49","Thành phố Cao Bằng","VN-04_cao-bang","cao-bang","VN-04"
"res_country_city_50","Thành phố Hà Tĩnh","VN-23_ha-tinh","ha-tinh","VN-23"
"res_country_city_51","Thành phố Pleiku","VN-30_pleiku","pleiku","VN-30"
"res_country_city_52","Thành phố Hòa Bình","VN-14_hoa-binh","hoa-binh","VN-14"
"res_country_city_53","Thành phố Sóc Trăng","VN-52_soc-trang","soc-trang","VN-52"
"res_country_city_54","Thành phố Quy Nhơn","VN-31_quy-nhon","quy-nhon","VN-31"
"res_country_city_55","Thành phố Thái Bình","VN-20_thai-binh","thai-binh","VN-20"
"res_country_city_56","Thành phố Việt Trì","VN-68_viet-tri","viet-tri","VN-68"
"res_country_city_57","Thành phố Vị Thanh","VN-73_vi-thanh","vi-thanh","VN-73"
"res_country_city_58","Thành phố Ngã Bảy","VN-73_nga-bay","nga-bay","VN-73"
"res_country_city_59","Thành phố Hạ Long","VN-13_ha-long","ha-long","VN-13"
"res_country_city_60","Thành phố Móng Cái","VN-13_mong-cai","mong-cai","VN-13"
"res_country_city_61","Thành phố Cẩm Phả","VN-13_cam-pha","cam-pha","VN-13"
"res_country_city_62","Thành phố Uông Bí","VN-13_uong-bi","uong-bi","VN-13"
"res_country_city_63","Thành phố Đông Hà","VN-25_dong-ha","dong-ha","VN-25"
"res_country_city_64","Thành phố Lào Cai","VN-02_lao-cai","lao-cai","VN-02"
"res_country_city_65","Thành phố Gia Nghĩa","VN-72_gia-nghia","gia-nghia","VN-72"
"res_country_city_66","Thành phố Bắc Ninh","VN-56_bac-ninh","bac-ninh","VN-56"
"res_country_city_67","Thành phố Đà Lạt","VN-35_da-lat","da-lat","VN-35"
"res_country_city_68","Thành phố Bảo Lộc","VN-35_bao-loc","bao-loc","VN-35"
"res_country_city_69","Thành phố Thái Nguyên","VN-69_thai-nguyen","thai-nguyen","VN-69"
"res_country_city_70","Thành phố Sông Công","VN-69_song-cong","song-cong","VN-69"
"res_country_city_71","Thành phố Phan Thiết","VN-40_phan-thiet","phan-thiet","VN-40"
"res_country_city_72","Thành phố Nha Trang","VN-34_nha-trang","nha-trang","VN-34"
"res_country_city_73","Thành phố Cam Ranh","VN-34_cam-ranh","cam-ranh","VN-34"
"res_country_city_74","Thành phố Bến Tre","VN-50_ben-tre","ben-tre","VN-50"
"res_country_city_75","Thành phố Huế","VN-26_hue","hue","VN-26"
"res_country_city_76","Thành phố Hà Giang","VN-03_ha-giang","ha-giang","VN-03"
"res_country_city_77","Thành phố Trà Vinh","VN-51_tra-vinh","tra-vinh","VN-51"
"res_country_city_78","Thành phố Tân An","VN-41_tan-an","tan-an","VN-41"
"res_country_city_79","Thành Phố Bắc Kạn","VN-53_bac-kan","bac-kan","VN-53"
"res_country_city_80","Thành phố Đồng Xoài","VN-58_dong-xoai","dong-xoai","VN-58"
"res_country_city_81","Tỉnh Vĩnh Phúc","VN-70","0","VN-70"
"res_country_city_82","Tỉnh Ninh Bình","VN-18","0","VN-18"
"res_country_city_83","Tỉnh Cà Mau","VN-59","0","VN-59"
"res_country_city_84","Tỉnh Nghệ An","VN-22","0","VN-22"
"res_country_city_85","Tỉnh Vĩnh Long","VN-49","0","VN-49"
"res_country_city_86","Tỉnh Quảng Bình","VN-24","0","VN-24"
"res_country_city_87","Thành phố Hải Phòng","VN-HP","0","VN-HP"
"res_country_city_88","Thành phố Hà Nội","VN-HN","0","VN-HN"
"res_country_city_89","Tỉnh Đồng Tháp","VN-45","0","VN-45"
"res_country_city_90","Tỉnh Lai Châu","VN-01","0","VN-01"
"res_country_city_91","Tỉnh Hưng Yên","VN-66","0","VN-66"
"res_country_city_92","Tỉnh Lạng Sơn","VN-09","0","VN-09"
"res_country_city_93","Tỉnh Đồng Nai","VN-39","0","VN-39"
"res_country_city_94","Tỉnh Tiền Giang","VN-46","0","VN-46"
"res_country_city_95","Tỉnh Phú Yên","VN-32","0","VN-32"
"res_country_city_96","Tỉnh Yên Bái","VN-06","0","VN-06"
"res_country_city_97","Tỉnh Bình Dương","VN-57","0","VN-57"
"res_country_city_98","Tỉnh Quảng Nam","VN-27","0","VN-27"
"res_country_city_99","Tỉnh Điện Biên","VN-71","0","VN-71"
"res_country_city_100","Tỉnh Kon Tum","VN-28","0","VN-28"
"res_country_city_101","Tỉnh Bạc Liêu","VN-55","0","VN-55"
"res_country_city_102","Tỉnh Đắk Lắk","VN-33","0","VN-33"
"res_country_city_103","Tỉnh An Giang","VN-44","0","VN-44"
"res_country_city_104","Tỉnh Thanh Hóa","VN-21","0","VN-21"
"res_country_city_105","Tỉnh Quảng Ngãi","VN-29","0","VN-29"
"res_country_city_106","Tỉnh Tây Ninh","VN-37","0","VN-37"
"res_country_city_107","Tỉnh Bắc Giang","VN-54","0","VN-54"
"res_country_city_108","Thành phố Hồ Chí Minh","VN-SG","0","VN-SG"
"res_country_city_109","Tỉnh Ninh Thuận","VN-36","0","VN-36"
"res_country_city_110","Tỉnh Tuyên Quang","VN-07","0","VN-07"
"res_country_city_111","Tỉnh Sơn La","VN-05","0","VN-05"
"res_country_city_112","Tỉnh Nam Định","VN-67","0","VN-67"
"res_country_city_113","Tỉnh Hà Nam","VN-63","0","VN-63"
"res_country_city_114","Tỉnh Hải Dương","VN-61","0","VN-61"
"res_country_city_115","Tỉnh Bà Rịa - Vũng Tàu","VN-43","0","VN-43"
"res_country_city_116","Tỉnh Kiên Giang","VN-47","0","VN-47"
"res_country_city_117","Tỉnh Cao Bằng","VN-04","0","VN-04"
"res_country_city_118","Tỉnh Hà Tĩnh","VN-23","0","VN-23"
"res_country_city_119","Tỉnh Gia Lai","VN-30","0","VN-30"
"res_country_city_120","Tỉnh Hoà Bình","VN-14","0","VN-14"
"res_country_city_121","Tỉnh Sóc Trăng","VN-52","0","VN-52"
"res_country_city_122","Tỉnh Bình Định","VN-31","0","VN-31"
"res_country_city_123","Tỉnh Thái Bình","VN-20","0","VN-20"
"res_country_city_124","Tỉnh Phú Thọ","VN-68","0","VN-68"
"res_country_city_125","Tỉnh Hậu Giang","VN-73","0","VN-73"
"res_country_city_126","Thành phố Cần Thơ","VN-CT","0","VN-CT"
"res_country_city_127","Tỉnh Quảng Ninh","VN-13","0","VN-13"
"res_country_city_128","Tỉnh Quảng Trị","VN-25","0","VN-25"
"res_country_city_129","Tỉnh Lào Cai","VN-02","0","VN-02"
"res_country_city_130","Tỉnh Đắk Nông","VN-72","0","VN-72"
"res_country_city_131","Tỉnh Bắc Ninh","VN-56","0","VN-56"
"res_country_city_132","Tỉnh Lâm Đồng","VN-35","0","VN-35"
"res_country_city_133","Tỉnh Thái Nguyên","VN-69","0","VN-69"
"res_country_city_134","Tỉnh Bình Thuận","VN-40","0","VN-40"
"res_country_city_135","Tỉnh Khánh Hòa","VN-34","0","VN-34"
"res_country_city_136","Tỉnh Bến Tre","VN-50","0","VN-50"
"res_country_city_137","Tỉnh Thừa Thiên Huế","VN-26","0","VN-26"
"res_country_city_138","Tỉnh Hà Giang","VN-03","0","VN-03"
"res_country_city_139","Tỉnh Trà Vinh","VN-51","0","VN-51"
"res_country_city_140","Tỉnh Long An","VN-41","0","VN-41"
"res_country_city_141","Tỉnh Bắc Kạn","VN-53","0","VN-53"
"res_country_city_142","Thành phố Đà Nẵng","VN-DN","0","VN-DN"
"res_country_city_143","Tỉnh Bình Phước","VN-58","0","VN-58"